ANZSCO_Code,ANZSCO_Title,ANZSCO_Desc
149212,Customer Service Manager,"Plans, administers and reviews customer services and after-sales services, and maintains sound customer relations."
149411,Fleet Manager,Organises and controls the buying and selling of vehicles for rental agencies and coordinates the leasing of vehicles. Registration or licensing may be required.
149413,Transport Company Manager,Organises and controls the operations of an enterprise that operates a fleet of vehicles to transport goods and passengers. Registration or licensing may be required.
149913,Facilities Manager,"Organises, controls and coordinates the strategic and operational management of buildings and facilities in public and private organisations to ensure the proper and efficient operation of all physical aspects of a facility, to create and sustain safe and productive environments for occupants."
149914,Financial Institution Branch Manager,"Organises and controls the general operational activities of a branch of a bank, building society or credit union."
211111,Actor,"Entertains by portraying roles in film, television, radio and stage productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211112,Dancer or Choreographer,"Entertains by performing dances, or creates dance compositions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211113,Entertainer or Variety Artist,"Entertains by performing a variety of acts using a mix of acting, singing, dance and movement skills. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211211,Composer,"Writes new and rearranges existing musical compositions such as songs, operas, symphonies, musical scores and advertising jingles. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211213,Musician,"Entertains by playing one or more musical instruments. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
211214,Singer,"Entertains by singing songs. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience."
212111,Artistic Director,"Determines and oversees implementation of artistic policies for a performing arts organisation such as a theatre company, dance company, music ensemble, festival or venue."
212112,Media Producer,"Plans, administers and reviews activities concerned with publishing, or the production of films, television or radio programs, theatre, music, festivals or other artistic activities."
212113,Radio Presenter,"Prepares and presents news, sports or other information, conducts interviews, and introduces music, performances and special events on radio."
212211,Author,Produces literary or other written work for publication or performance.
212212,Book or Script Editor,"Evaluates manuscripts of books or scripts to determine suitability for publication or production, and edits and supervises material in preparation for publication or for production on film, television, radio or stage."
212314,Film and Video Editor,"Makes and implements editorial decisions regarding mood, pace and climax of films, television programs, video productions or commercials."
212411,Copywriter,Designs and composes written material to advertise products and services.
212415,Technical Writer,"Researches and writes technical information-based material and documentation for articles, manuals, text books, handbooks, or multimedia products, usually for education or corporate purposes."
221111,Accountant  ,"Provides services relating to compliance-based financial reporting, auditing, insolvency and accounting information systems; and advises on associated record-keeping requirements. Registration or licensing may be required for certain services such as auditing."
221112,Management Accountant,"Provides services relating to performance-based financial reporting, asset valuation, budgetary systems, cost management, pricing, forecasting and the strategic governance of organisations. Provides advice on financial planning, risk management, carbon sequestration projects and carbon pricing and provides management with reports to assist in decision-making. May provide insight into cost performance and support the implementation of benchmarking and quality improvement initiatives. Registration or licensing may be required."
221113,Taxation Accountant,"Analyses, reports and provides advice on taxation issues to organisations or individuals, prepares taxation returns and reports, and handles disputes with taxation authorities. Registration or licensing may be required."
221212,Corporate Treasurer,"Manages corporate funding, liquidity and financial risk associated with the profitable development and operation of an organisation. May be involved in acquisitions, disposals and joint ventures. Registration or licensing may be required."
221213,External Auditor,"Designs and operates information and reporting systems, procedures and controls to meet external financial reporting requirements. Registration or licensing is required."
221214,Internal Auditor,"Examines, verifies, evaluates and reports on financial, operational and managerial processes, systems and outcomes to ensure financial and operational integrity and compliance, and assists in business process reviews, risk assessments, developing deliverables and reporting progress against outcomes. Registration or licensing may be required."
222111,Commodities Trader,"Operates as an independent agent to bring together buyers and sellers of commodities, negotiates private sales and arranges sales through established market places."
222311,Financial Investment Adviser,"Develops and implements financial plans for individuals or organisations, and advises on investment strategies and their taxation implications, securities, insurance, pension plans and real estate. Registration or licensing may be required."
222312,Financial Investment Manager,"Invests and manages sums of money and assets on behalf of others over an agreed period of time, in order to generate income and profit. Registration or licensing may be required."
223111,Human Resource Adviser,Provides staffing and personnel administration services in support of an organisation's human resource policies and programs.
223112,Recruitment Consultant,"Interviews applicants to determine their job requirements and suitability for particular jobs, and assists employers to find suitable staff."
223113,Workplace Relations Adviser,"Assists in resolving disputes by advising on workplace relations policies and problems, and representing industrial, commercial, union, employer or other parties in negotiations on rates of pay and conditions of employment."
224111,Actuary,"Analyses mathematical, statistical, demographic, financial or economic data to predict and assess the long-term risk involved in financial decisions and planning. Registration or licensing is required."
224112,Mathematician,"Develops and applies mathematical principles and techniques to solve problems in all areas of the sciences, engineering, technology, social sciences, business, industry and commerce."
224113,Statistician,"Designs and applies statistical principles and techniques for collecting, organising and interpreting quantifiable data, and uses statistical methodologies to produce statistical reports and analyses for government, commercial and other purposes."
224211,Archivist,"Analyses and documents records, and plans and organises systems and procedures for the safekeeping of records and historically valuable documents."
224212,Gallery or Museum Curator,Plans and organises a gallery or museum collection by drafting collection policies and arranging acquisitions of pieces.
224213,Health Information Manager,"Plans, develops, implements and manages health information services, such as patient information systems, and clinical and administrative data, to meet the medical, legal, ethical and administrative requirements of health care delivery."
224214,Records Manager,"Designs, implements and administers record systems and related information services, to support efficient access, movement, updating, storage, retention and disposal of files and other organisational records."
224411,Intelligence Officer,"Collects and analyses information and data to produce intelligence for an organisation to support planning, operations and human resource functions."
224412,Policy Analyst,"Develops and analyses policies guiding the design, implementation and modification of government or commercial operations and programs."
224512,Valuer,"Assesses the value of land, property, commercial equipment, merchandise, personal effects, household goods and objects of art. Registration or licensing may be required."
224711,Management Consultant,Assists organisations to achieve greater efficiency and solve organisational problems.
224712,Organisation and Methods Analyst,"Assists organisations to achieve greater efficiency and solve organisational problems, and study organisational structures, methods, systems and procedures. "
224912,Liaison Officer,"Establishes and facilitates communication between different community groups, organisations and governments."
225112,Market Research Analyst,"Determines the market for new goods and services, develops advertising strategies, and evaluates the best business sites for commercial organisations."
225113,Marketing Specialist,"Identifies market opportunities and advises on the development, coordination and implementation of plans for pricing and promoting an organisation's goods and services."
231111,Aeroplane Pilot,"Flies aeroplanes to transport passengers, mail and freight, or provide agricultural, aerial surveillance or other aviation services. Registration or licensing is required."
231112,Air Traffic Controller,Ensures the safe and efficient movement of aircraft in controlled airspace and aerodromes by directing aircraft movements. Registration or licensing is required.
231213,Ship's Master,Controls and manages the operations of a ship or boat. Registration or licensing is required.
231214,Ship's Officer,Navigates and controls the safe operation of a ship and supervises and coordinates the activities of deck crew. Registration or licensing is required.
232111,Architect,"Plans and designs buildings, provides concepts, plans, specifications and detailed drawings, negotiates with builders and advises on the procurement of buildings. Registration or licensing is required."
232112,Landscape Architect,"Plans and designs land areas for projects such as open space networks, parks, schools, institutions, roads, external areas for all building types, land subdivisions, and commercial, industrial and residential sites."
232311,Fashion Designer,"Plans, designs and develops clothing, accessories, footwear or other items of personal apparel considering the form and construction of clothing, historical styles and contexts, contemporary and cultural trends, colour, fabric, and decoration, and the techniques and processes available for manufacture."
232312,Industrial Designer,"Plans, designs, develops and documents industrial, commercial or consumer products for manufacture with particular emphasis on ergonomic factors, marketing considerations and manufacturability, and prepares designs and specifications of products for mass or batch production."
232411,Graphic Designer,"Plans, designs, develops and prepares information for publication and reproduction using text, symbols, pictures, colours and layout to achieve commercial and communication needs with particular emphasis on tailoring the message for the intended audience."
232412,Illustrator,"Plans, designs, develops, and prepares pictures and diagrams to communicate messages, clarify meaning, assist in presentations and illustrate stories, using traditional and digital media such as drawing, painting, drafting, collage, models, photography, and image capture and manipulation software."
232413,Multimedia Designer,"Plans, designs and develops the production of digitally delivered information, promotional content, instructional material and entertainment through online and recorded digital media using static and animated information, text, pictures, video and sound to produce information and entertainment."
232414,Web Designer,"Plans, designs, develops and prepares information for Internet publication with particular emphasis on the user interface, ease of navigation and location of information using text, pictures, animation, sound, colours, layout and data sources to deliver information tailored to an intended audience and purpose."
233111,Chemical Engineer,"Designs and prepares specifications for chemical process systems and the construction and operation of commercial-scale chemical plants, and supervises industrial processing and fabrication of products undergoing physical and chemical changes. Registration or licensing may be required."
233112,Materials Engineer,"Investigates the properties of metals, ceramics, polymers and other materials and assesses and develops their engineering and commercial applications. Registration or licensing may be required."
233211,Civil Engineer,"Plans, designs, organises and oversees the construction and operation of dams, bridges, pipelines, gas and water supply schemes, sewerage systems, airports and other civil engineering projects. Registration or licensing may be required."
233212,Geotechnical Engineer,"Plans, directs and conducts survey work to analyse the likely behaviour of soil and rock when placed under pressure by proposed structures, and designs above and below ground foundations. Registration or licensing may be required."
233213,Quantity Surveyor,"Estimates and monitors construction costs from the project feasibility stage, through tender preparation, to the construction period and beyond. Registration or licensing is required."
233214,Structural Engineer,"Analyses the properties of all types of structures, tests the behaviour and durability of materials used in their construction, and designs and supervises the construction of all types of structures. Registration or licensing may be required."
233215,Transport Engineer,Plans and develops transport systems to improve infrastructure efficiency and the cost effectiveness of moving people and freight. Registration or licensing may be required.
233511,Industrial Engineer,"Investigates and reviews the use of personnel, facilities, equipment and materials, current operational processes and established practices, to recommend improvement in the efficiency of operations in a variety of commercial, industrial and production environments. Registration or licensing may be required."
233512,Mechanical Engineer,"Plans, designs, organises and oversees the assembly, erection, operation and maintenance of mechanical and process plant and installations. Registration or licensing may be required."
233513,Production or Plant Engineer,"Plans and coordinates the design, construction, modification, continued performance and maintenance of equipment and machines in industrial plants, and the management and planning of manufacturing activities. Registration or licensing may be required."
233611,Mining Engineer ,Plans and directs the engineering aspects of locating and extracting minerals from the earth. Registration or licensing may be required.
233612,Petroleum Engineer,Plans and directs the engineering aspects of locating and extracting petroleum or natural gas from the earth. Registration or licensing may be required.
233911,Aeronautical Engineer,"Performs and supervises engineering work concerned with the design, development, manufacture, maintenance and modification of aircraft for flight. Registration or licensing may be required."
233913,Biomedical Engineer,"Applies knowledge and methodology of physics, engineering, mathematics, computing, physical chemistry and materials science to problems in biology and the treatment and prevention of human disease. Registration or licensing may be required."
233914,Engineering Technologist,Analyses and modifies new and existing engineering technologies and applies them in the testing and implementation of engineering projects. Registration or licensing may be required.
233915,Environmental Engineer,"Assesses the impact on air, water, soil and noise levels in the vicinity of engineering projects, plans and designs equipment and processes for the treatment and safe disposal of waste material, and assesses what may cause problems for the environment in the long-term. Registration or licensing is required."
233916,Naval Architect,Designs and oversees the construction and repair of marine craft and floating structures. Registration or licensing may be required.
234211,Chemist,"Studies the chemical and physical properties of substances, and develops and monitors chemical processes and production."
234212,Food Technologist,"Develops new and improves existing food products, and sets standards for producing, packaging and marketing food."
234213,Wine Maker,"Plans, supervises and coordinates the production of wine or spirits from selected varieties of grapes."
234311,Conservation Officer,"Develops and implements programs and regulations for the protection of fish, wildlife and other natural resources."
234312,Environmental Consultant,"Analyses and advises on policies guiding the design, implementation and modification of government or commercial environmental operations and programs."
234313,Environmental Research Scientist,Studies and develops policies and plans for the control of factors which may produce pollution or cause degradation of the environment.
234314,Park Ranger,"Assists in controlling a State or national park, scenic area, historic site, nature reserve, recreation area or conservation reserve in accordance with authorised policies and priorities."
234511,Life Scientist  ,"Studies the origin, anatomy, physiology, reproduction and behaviour of living organisms and the ways in which they interact with the environment in which they live."
234513,Biochemist,Studies the biochemistry and molecular structure of living organisms.
234514,Biotechnologist,"Studies the anatomy, physiology and characteristics of living organisms and isolated biological molecules, and develops new materials for applying to a range of purposes."
234515,Botanist,"Studies the anatomy, physiology, biochemistry and ecology of plants."
234517,Microbiologist,"Studies microscopic forms of life such as bacteria, viruses and protozoa."
234518,Zoologist,"Studies the anatomy, physiology, characteristics, ecology, behaviour and environments of animals."
234911,Conservator,"Plans and organises the conservation of materials and objects in libraries, archives, museums and art galleries."
234912,Metallurgist,"Researches, develops, controls and provides advice on processes used in extracting metals from their ores, and processes used for casting, alloying, heat treating or welding refined metals, alloys and other materials to produce commercial metal products or develop new alloys and processes. Registration or licensing may be required."
234913,Meteorologist,"Studies the physics and dynamics of the atmosphere to increase understanding of weather and climate, and to forecast changes in the weather and long-term climatic trends."
234914,Physicist,"Studies matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena to further understanding of the laws governing the behaviour of the universe, and seeks to apply these laws to solve practical problems and discover new information about the earth and the universe."
242111,University Lecturer,Lectures students and conducts tutorials in one or more subjects within a prescribed course of study at a university and conducts research in a particular field of knowledge. Registration or licensing may be required.
242112,University Tutor,Conducts tutorials in one or more subjects within a prescribed course of study at a university. Registration or licensing may be required.
249212,Dance Teacher ,"Teaches students in the practice, theory and performance of dance."
249214,Music Teacher ,"Teaches students in the practice, theory and performance of music."
251211,Medical Diagnostic Radiographer,Operates X-ray and other medical imaging equipment to produce images for medical diagnostic purposes in conjunction with Diagnostic and Interventional Radiologists or other Medical Practitioners. Registration or licensing is required.
251212,Medical Radiation Therapist,Operates high energy X-ray and other radiation and electron generating and monitoring equipment to administer radiation treatment for medical purposes in conjunction with Radiation Oncologists or other specialist Medical Practitioners. Registration or licensing is required.
251213,Nuclear Medicine Technologist,"Performs or assists in performing diagnostic examinations using radionuclides and radiopharmaceuticals, and administers radionuclides and radiopharmaceuticals for therapeutic purposes under the direction of specialist Medical Practitioners. Registration or licensing is required."
251214,Sonographer,"Operates ultrasound equipment to acquire, interpret and selectively record anatomical images, physical data and real-time physiological information for medical diagnostic purposes in conjunction with Medical Practitioners."
251311,Environmental Health Officer,"Develops, enforces and evaluates environmental health policies, programs and strategies to improve health outcomes, and oversees the implementation and monitoring of environmental health legislation. Registration or licensing may be required."
251312,Occupational Health and Safety Adviser,"Develops, implements and evaluates risk management policies and programs, trains employees in occupational health and safety procedures, monitors and audits the workplace, and records and investigates incidents to ensure safe and healthy working conditions."
251411,Optometrist,"Performs eye examinations and vision tests to determine the presence of visual, ocular and other abnormalities, ocular diseases and systemic diseases with ocular manifestations, and prescribes lenses, other optical aids, therapy and medication to correct and manage vision problems and eye diseases. Registration or licensing is required."
251412,Orthoptist,Diagnoses and manages eye movement disorders and associated sensory deficiencies. Registration or licensing may be required.
251511,Hospital Pharmacist,"Prepares and dispenses pharmaceuticals, drugs and medicines in a hospital pharmacy. Registration or licensing is required."
251513,Retail Pharmacist,"Dispenses prescribed pharmaceuticals to the public, educates customers on health promotion, disease prevention and the proper use of medicines, and sells non-prescription medicines and related goods in a community pharmacy. Registration or licensing is required."
251911,Health Promotion Officer,"Assists health and community groups to improve the health of individuals and the community by raising awareness of healthy lifestyles, disease and disability, and other health-related issues."
251912,Orthotist or Prosthetist,"Designs, builds, fits and repairs splints, braces, callipers, artificial limbs and related appliances to restore function or compensate for muscular and skeletal disabilities. Registration or licensing may be required."
252211,Acupuncturist,Treats disorders and illnesses by stimulating the body's defence mechanisms through inserting fine needles into the skin. Registration or licensing may be required.
252213,Naturopath,"Treats internal health problems, metabolic disorders and imbalances through treatment of the whole person using natural therapies. Registration or licensing may be required."
252711,Audiologist,Provides diagnostic assessment and rehabilitative services related to human hearing defects. Registration or licensing is required.
252712,Speech Pathologist,"Provides diagnostic assessment and management of disorders of communication and swallowing through direct intervention, education, consultancy, advocacy, or a combination of these approaches."
253111,General Practitioner,"Diagnoses, treats and prevents human physical and mental disorders and injuries. Registration or licensing is required."
253112,Resident Medical Officer,"Diagnoses, treats and prevents human physical and mental disorders and injuries under the supervision of medical specialists or senior general practitioners. Registration or licensing is required."
253317,Intensive Care Specialist,"Investigates, diagnoses and treats patients in need of intensive and critical care. Registration or licensing is required."
253318,Neurologist,"Investigates, diagnoses and treats diseases and injuries of the human brain, spinal cord, nervous system and muscle tissue. Registration or licensing is required."
253321,Paediatrician,"Investigates, diagnoses and treats internal diseases and disorders in children from birth up to, and including, adolescence. Registration or licensing is required."
253324,Thoracic Medicine Specialist,"Investigates, diagnoses and treats diseases and disorders of the human respiratory system. Registration or licensing is required."
253911,Dermatologist,"Provides diagnostic, treatment and preventative medical services related to disorders of the human skin. Registration or licensing is required."
253912,Emergency Medicine Specialist,"Provides diagnostic medical services, and manages patients with acute and urgent illness and injury. Registration or licensing is required."
253913,Obstetrician and Gynaecologist,"Provides diagnostic, treatment and preventative medical and surgical services related to the care of women, foetuses and children during pregnancy and childbirth, and to disorders of the female genital, urinary, rectal and reproductive organs. Registration or licensing is required."
253914,Ophthalmologist,"Provides diagnostic, treatment and preventative medical services related to diseases, injuries and deficiencies of the human eye and associated structures. Registration or licensing is required."
253915,Pathologist,"Identifies the cause and processes of disease and illness by examining changes in body tissue and in blood and other body fluids, and conducts tests on samples of tissues, blood and body secretions. Registration or licensing is required."
253917,Diagnostic and Interventional Radiologist,"Provides diagnostic and treatment medical services, and monitors patients with various diseases utilising imaging techniques such as general radiography, angiography, fluoroscopy, mammography, ultrasound, computed tomography, magnetic resonance imaging, nuclear medicine and bone densitometry. Registration or licensing is required."
254211,Nurse Educator,"Designs, plans, implements and evaluates the delivery of nursing education and staff development programs, and manages educational resources."
254212,Nurse Researcher,"Designs, conducts and evaluates nursing and interdisciplinary research projects, and promotes the implementation of research findings into clinical nursing practice."
254411,Nurse Practitioner,"Provides advanced and extended nursing care to patients, such as ordering diagnostic tests, undertaking diagnosis and health assessments, prescribing patient care management, medicines and therapies, and referring to specialist Medical Practitioners and other Health Professionals in a range of health, welfare and community settings. Registration or licensing is required."
254415,Registered Nurse (Critical Care and Emergency),"Provides nursing care to critically ill patients and patients with unstable health following injury, surgery or during the acute phase of diseases, integrating new technological equipment into care in settings such as high dependency units, intensive care units, emergency departments or retrieval services. Registration or licensing is required."
254422,Registered Nurse (Mental Health),"Provides nursing care to patients with mental health illness, disorder and dysfunction, and those experiencing emotional difficulties, distress and crisis in health, welfare and aged care facilities, correctional services and the community. Registration or licensing is required."
254424,Registered Nurse (Surgical),Provides nursing care to patients with injuries and illness that require surgical intervention. Registration or licensing is required.
261211,Multimedia Specialist,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for CD-ROMs, information kiosks, multimedia presentations, websites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products."
261212,Web Developer,"Plans, produces and maintains websites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT Professionals such as Business Analysts, Web Designers and network and usability specialists."
261311,Analyst Programmer,"Analyses user needs, produces requirements documentation and system plans, and encodes, tests, debugs, maintains and documents programs and applications."
261312,Developer Programmer,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications from a business functional model, and tests and writes technical documentation."
261313,Software Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports software applications and systems."
261314,Software Tester,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of  computer software, and documents the results of tests in defect reports and related documentation."
262111,Database Administrator,"Plans, develops, configures, maintains and supports an organisation's database management system in accordance with user requirements ensuring optimal database integrity, security, backup, reliability and performance."
262112,ICT Security Specialist,"Establishes, manages and administers an organisation's ICT security policy and procedures to ensure preventive and recovery strategies are in place, and minimise the risk of internal and external security threats."
262113,Systems Administrator,"Plans, develops, installs, troubleshoots, maintains and supports an operating system and associated server hardware, software and databases ensuring optimum system integrity, security, backup and performance."
263111,Computer Network and Systems Engineer,"Plans, develops, deploys, tests and optimises network and system services, taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault-finding services for network problems."
263112,Network Administrator,"Installs and maintains hardware and software, documents diagnosis and resolution of faults, manages user passwords, security and inventory documentation, ensures the efficient performance of servers, printers and personal computers, and attends to other operational tasks. May also perform tasks such as help desk support and user training."
263113,Network Analyst,"Researches and analyses network architecture, and recommends policies and strategies for designing, planning and coordinating an organisation's network such as the total system environment and architecture. May also perform operational tasks such as monitoring system performance, software and hardware upgrades, backups, support and network maintenance."
263211,ICT Quality Assurance Engineer,"Creates, maintains and manages technical quality assurance processes and procedures to assess efficiency, validity, value and functional performance of computer systems and environments, and audits systems to ensure compliance with quality standards and regulations. May supervise the work of ICT quality assurance teams."
263212,ICT Support Engineer,"Develops support procedures and strategies for systems, networks, operating systems and applications development, solves problems and provides technical expertise and direction in support of system infrastructure and process improvements, and diagnoses and resolves complex system problems."
263213,ICT Systems Test Engineer,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of systems, and documents the results of tests in defect reports and related documentation."
272111,Careers Counsellor,Provides individuals and groups with information about career choices and assists individuals with self-development.
272112,Drug and Alcohol Counsellor,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre."
272113,Family and Marriage Counsellor,"Assists individuals, couples and families with marriage and relationship difficulties. May work in a call centre."
272114,Rehabilitation Counsellor,"Assists physically, mentally and socially disadvantaged people to reintegrate into work and the community."
272115,Student Counsellor,"Provides information and assistance to students, parents and teachers about a wide range of matters such as students' personal problems, learning difficulties and special requirements."
272311,Clinical Psychologist,"Consults with individuals and groups, assesses psychological disorders and administers programs of treatment. Registration or licensing is required."
272312,Educational Psychologist,"Investigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings. Registration or licensing is required."
272313,Organisational Psychologist,"Applies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design. Registration or licensing is required."
272411,Historian,Researches the history of human activity and prepares accounts of findings.
272412,Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation."
272413,Translator,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation."
272612,Recreation Officer,"Plans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations."
272613,Welfare Worker,"Assists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment."
311211,Anaesthetic Technician,"Prepares and maintains anaesthetic equipment for operating theatres or clinics, and assists Anaesthetists during anaesthetic procedures."
311212,Cardiac Technician,"Conducts tests on patients to record heart activity using specialised equipment, recording devices and laboratory instruments in support of Cardiologists and other Medical Practitioners engaged in diagnosing, monitoring and treating heart disease."
311213,Medical Laboratory Technician,Performs routine medical laboratory tests and operates diagnostic laboratory equipment under the supervision of Medical Laboratory Scientists and Pathologists. Registration or licensing may be required.
311214,Operating Theatre Technician,"Prepares and maintains an operating theatre and its equipment, assists the surgical team during operations and provides support to patients in the recovery room."
311215,Pharmacy Technician,"Fills and labels patients' prescriptions under the supervision of a Pharmacist. May record details of, place orders for, take stock of, and store medications and medical supplies and deliver them to patients."
311216,Pathology Collector,"Extracts, collects, labels and preserves blood and other specimens from patients for laboratory analysis."
311411,Chemistry Technician,"Performs laboratory tests on organic and inorganic chemicals, analyses test data and carries out technical functions in support of Chemists or Chemical Engineers in a wide variety of areas such as fuels, agricultural products, food, pharmaceuticals, paints, metals, plastics, textiles, detergents, paper, fertilisers and cosmetics."
311412,Earth Science Technician,"Collects and tests earth and water samples, records observations and analyses data in support of Geologists or Geophysicists."
311413,Life Science Technician,Identifies and collects living organisms and conducts field and laboratory studies in support of Life Scientists or Environmental Scientists.
312111,Architectural Draftsperson,"Completes Architects' concepts by preparing drawings and plans, and liaising with builders and contractors."
312112,Building Associate,"Supervises construction sites, and organises and coordinates the material and human resources required. Registration or licensing may be required."
312113,Building Inspector,Inspects buildings to ensure compliance with laws and regulations and advises on building requirements. Registration or licensing may be required.
312114,Construction Estimator,Prepares and delivers estimates and cost plans for construction projects up to the tender settlement stage.
312116,Surveying or Spatial Science Technician,"Collects, records and evaluates spatial information and prepares databases, maps, charts and plans in support of Surveyors, Cartographers or Other Spatial Scientists. Registration or licensing may be required."
312211,Civil Engineering Draftsperson,Prepares detailed drawings and plans for civil engineering work in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.
312212,Civil Engineering Technician,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required."
312311,Electrical Engineering Draftsperson,Prepares detailed drawings and plans of electrical installations and circuitry in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.
312312,Electrical Engineering Technician,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required."
312511,Mechanical Engineering Draftsperson,Prepares detailed drawings and plans of mechanical engineering work in support of Mechanical Engineers and Engineering Technologists.
312512,Mechanical Engineering Technician,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of Mechanical Engineers and Engineering Technologists."
313111,Hardware Technician,"Supports and maintains computer systems and peripherals by installing, configuring, testing, troubleshooting, and repairing hardware."
313112,ICT Customer Support Officer,"Provides support, education and guidance in the deployment and maintenance of computer infrastructure and the diagnosis and resolution of technical problems and issues. May work in a call centre."
313113,Web Administrator,"Designs, builds and maintains websites, and provides web technology solutions and services."
321211,Motor Mechanic  ,"Maintains, tests and repairs petrol engines and the mechanical parts of lightweight motor vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
321212,Diesel Motor Mechanic,"Maintains, tests and repairs diesel motors and the mechanical parts of trucks, buses and other heavy vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required."
321213,Motorcycle Mechanic,"Maintains, tests and repairs the mechanical parts of motorcycles. Registration or licensing may be required."
321214,Small Engine Mechanic,"Maintains, tests and repairs engines of chainsaws, lawn mowers, garden tractors and other equipment with small engines. Registration or licensing may be required."
322311,Metal Fabricator,Marks off and fabricates structural steel and other metal stock to make or repair metal products and structures such as boilers and pressure vessels.
322313,Welder,Fabricates and repairs metal products using various welding techniques.
323111,Aircraft Maintenance Engineer (Avionics),"Inspects, tests, aligns, repairs and installs aircraft electrical and avionic system components. Registration or licensing may be required."
323112,Aircraft Maintenance Engineer (Mechanical),"Inspects, tests, repairs and installs aircraft hydromechanical and flight system components and aircraft engines, subassemblies and components. Registration or licensing may be required."
323211,Fitter  ,Fits and assembles metal parts and subassemblies to fabricate production machines and other equipment.
323214,Metal Machinist ,"Sets up and operates machine tools to shape and form metal stock and castings to fine tolerances, using detailed drawings and specifications."
323313,Locksmith,Installs and maintains locks and related security devices and systems. Registration or licensing is required.
323314,Precision Instrument Maker and Repairer,"Assembles, calibrates, installs and overhauls mechanical precision instruments and equipment."
323316,Watch and Clock Maker and Repairer,"Makes, repairs, cleans and adjusts watches and clocks."
323411,Engineering Patternmaker,"Constructs full-size engineering models usually made out of timber, which are used in manufacturing to produce metal castings, copy models, vacuum form tooling and tooling for the automotive, aircraft or fibreglass industries."
323412,Toolmaker,"Makes and repairs tools, dies, jigs, fixtures and other precision parts and equipment to fine tolerances for machine tools and other production machinery."
331111,Bricklayer,"Lays bricks, pre-cut stone and other types of building blocks in mortar to construct and repair walls, partitions, arches and other structures. Registration or licensing may be required."
331112,Stonemason,Cuts and shapes hard and soft stone blocks and masonry slabs to construct and renovate stone structures and monumental masonry. Registration or licensing may be required.
331212,Carpenter,"Constructs, erects, installs, renovates and repairs structures and fixtures of wood, plywood, wallboard and other materials. Registration or licensing may be required."
331213,Joiner,"Cuts, shapes and fits timber parts in workshops to form structures and fittings, ready for installation. Registration or licensing may be required."
333211,Fibrous Plasterer,"Applies and fixes plasterboard partitions, suspended ceilings, fire rating systems, acoustic tiles, and composite wall linings to buildings. Registration or licensing may be required."
333212,Solid Plasterer,"Applies decorative and protective coverings of plaster, cement and similar materials to the interiors and exteriors of structures. Registration or licensing may be required."
334111,Plumber  ,"Installs and repairs water, drainage, gas and sewerage pipes and systems. Registration or licensing is required."
334113,Drainer,"Installs, maintains and designs below-ground drainage systems and associated sewerage or effluent disposal systems. Registration or licensing is required."
334114,Gasfitter,"Installs, maintains and repairs gas mains, piping systems downstream of the billing meter, and appliances and ancillary equipment associated with the use of fuel gases, including liquefied petroleum gas systems. Registration or licensing is required."
